about,address,area,award_winner,children,disabled_access,dogs,dress_code,gardens,gluten_free,halal,latitude,longitude,menu_description,menu_url,music,name,nearest_railway_station,nut_free,outdoor_seating,region,starting_price,times,vegan,vegetarian,venue_url,where_to_sit
"Treat yourself with a trip to Thornton Hall Hotel and Spa where you will find the perfect place to enjoy 'The Great Wirral Afternoon Tea'. Enjoy Tea in the lounge area of the lawns or, if weather permits, in the glorious grounds surrounding the hotel.  Afternoon Tea includes a selection of finger sandwiches, scones with clotted cream and preserves and an assortment of sweets as well as a wide variety of loose leef teas to suit every mood, including exotic mandarin rose petal.  Conveniently located for Merseyside, Manchester, Cheshire and North Wales, Thornton Hall Hotel in the Wirral is placed in glorious grounds. Thornton Hall Hotel is easily accesible from either Heswall or Neston railway stations.","Neston Road, Thornton Hough, Wirral,CH63 1JF",Cheshire,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,Yes,Available on request. Please specify at the time of booking,Available on request. Please specify at the time of booking,53.318485,-3.049792,,www.afternoontea.co.uk//media/20envyq4/thornton-hall-afternoon-tea-menu.pdf,No live music,Thornton Hall Hotel and Spa,Heswall or Neston,Available on request. Please specify at the time of booking,Terrace,North West,27.00,Afternoon Tea is served 2pm to 5pm every day excluding all major holidays,Available on request. Please specify at the time of booking,,https://www.afternoontea.co.uk/uk/north-west/cheshire/thornton-hall-hotel-and-spa/,The Lawns Restaurant
"Thornbury Castle is a magnificent Tudor castle-palace set in extensive gardens and parkland. The third Duke of Buckingham received a royal licence to start building the castle in 1510. King Henry VIII and Anne Boleyn stayed here in 1535 and Queen Mary I lived at Thornbury for several years.  Much of the original 16th Century building still remains and is now a luxury hotel with fascinating historical details such as coats of arms, intricate oriel windows and ornate carved ceilings.  Gift Vouchers are available for Afternoon Tea at Thornbury Castle - View Details","Castle Street, Thornbury, South Gloucestershire, Near Bristol ,BS35 1HH",Bristol,,Aged 10 and above only,Yes,Any well behaved pet is welcome,Smart casual,Yes,,,51.614118,-2.530201,;,,No live music,Thornbury Castle,Bristol Parkway,,Yes,South West,37.50,Afternoon Tea is served  12:30pm to 4:30pm from Monday - Saturday and 3pm to 4.30pm on Sundays,,,https://www.afternoontea.co.uk/uk/south-west/bristol/thornbury-castle/,All rooms
"Experience the enchantment of Strand Palace's new Afternoon Tea, a fusion of culinary artistry and theatrical charm.  Embark on a delightful journey with delectable sandwiches, cakes, and cocktails inspired by Peacock Theatre performances. Indulge in a refined microcosm of flavours, including a vibrant Samba Sambal wrap and a Stagehands' Sausage Roll.  Their Intermission features fragrant teas like 'Headliner' and the Ballerina's Bliss, accompanied by traditional scones. Act II unveils treats like Tutu Tartlet, Curtain Call, and the intriguing Actors Illusion – a disguised peanut butter and jelly sandwich.  This playful and interactive Afternoon Tea invites you to explore unexpected flavours. Available daily from 12pm to 5pm at Haxells at Strand Palace, priced at £49 per person on weekdays and £55 per person on weekends, with vegan and kids' menus available from January 16th to mid-May.","372 Strand, London ,WC2R 0JJ",Covent Garden,,Children of all ages welcome,Yes,Guide dogs only,Casual,No,"Yes, please specify when booking","Yes, please specify when booking",51.510849,-0.120855,Adults:; £49 per person on weekdays; £59 weekends with live entertainment; Children:; £30 per child on weekends with live entertainment; £25 per child on weekdays;,www.afternoontea.co.uk//media/1mapg5ze/strandpalacetheatreafternoontea2024.pdf,No live music,Theatre Afternoon Tea at Strand Palace,Covent Garden,"Yes, please specify when booking",No,London,49.00,Afternoon Tea is served 12pm to 5pm daily,"Yes, please specify when booking","Yes, please specify when booking",https://www.afternoontea.co.uk/uk/london/covent-garden/strand-palace-hotel/,Afternoon Tearoom at Haxells
"Why not try an original Afternoon Tea at Terra a Terre? This double AA Rosette winning restaurant have continued their creative approach to vegetarian cuisine in developing a unique Afternoon Tea menu.  Afternoon Tea is served in the main restaurant, which provides a welcoming atmosphere where guests can relax and enjoy a selection of quality produced food.  They serve a Vegetarian, Vegan and Gluten Free Afternoon Tea, which consists of one savoury tier followed by three tiers of sweet treats featuring innovative dishes that tantalise all the senses. If you are feeling in an indulgent mood you can upgrade to include a glass of fizz or a cocktail.  This restaurant is located just a three-minute walk from Brighton Pier, not too far from Brighton Sea Life Centre.","71 East Street, Brighton,BN1 1HQ",East Sussex,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,No,"Yes, please specify at the time of booking","Yes, please specify at the time of booking",50.820239,-0.139163,"TERRE A TIER TEA; One savoury plate served first, followed by three tiers of sweet delights with a choice of tea or coffee pot; Savoury plate; Steamed rice bun stuffed with Szechuan marinated halloumi, with kimchi Chinese cabbage, lapsang souchong pickled watermelon and cucumber, a miso chilli sauce and spring onion garnish.; Porcini and salsify black turtle bean boudin pudding crammed full of seasons spice, rolled in pinhead oatmeal and peppered porcini salt, seared and topped with Poire William pear mustard seed relish. Served with deliciously smooth roast Jerusalem artichoke mace cream.; Seaweed tapioca cracker with pickled vegetables.; Sweet Tier 1; Orange & almond polenta cake served with clementine sorbet and pomegranate molasses, pink peppered meringue, coconut cream, toasted coconut and baby sorrel.; Sweet Tier 2; Chocolate spiced hazelnut truffle cake and praline served with a whipped dark chocolate mousse. Cognac cinnamon and nutmeg noggin and a Razza Jazza truffle.; Traditional Tier; Tea soaked sultana scones served with vanilla strawberry jam and clotted cream; £26 per person; £33 per person; with a glass of Fizz or cocktail; VEGAN TERRE A TIER TEA; One savoury plate served first, followed by three tiers of sweet delights with a choice of tea or coffee pot; ; Savoury Tier; Steamed rice bun stuffed with Szechuan marinated tofu, with kimchi Chinese cabbage, lapsang souchong pickled watermelon and cucumber, a miso chilli sauce and spring onion garnish.; Porcini and salsify black turtle bean boudin pudding crammed full of seasons spice, rolled in pinhead oatmeal and peppered porcini salt, seared and topped with Poire William pear mustard seed relish. Served with deliciously smooth roast Jerusalem artichoke mace cream.; Seaweed tapioca cracker with pickled vegetables.; Sweet Tier 1; Orange & almond polenta cake served with clementine sorbet and pomegranate molasses, pink peppered meringue, coconut cream, toasted coconut and baby sorrel; Sweet Tier 2; Chocolate spiced hazelnut truffle cake and praline served with a whipped dark chocolate mousse. Cognac cinnamon and nutmeg noggin and a Razza Jazza truffle; Traditional Tier; Tea soaked sultana scones served with vanilla strawberry jam and coconut lime yogurt; £24 per person; £33 per person; with a glass of Fizz or cocktail; GLUTEN FREE TERRE A TIER TEA; One savoury plate served first, followed by three tiers of sweet delightswith a choice of tea or coffee pot; Savoury Tier; Aubergine dengaku steeped with seared ume miso sweet ginger tahini aubergine and smoked tofu char. Served with edamame, wasabi yuzu pesto and mizuna snow pea and kohl salad.; Porcini and salsify black turtle bean boudin pudding crammed full of seasons spice, rolled in pinhead oatmeal and peppered porcini salt, seared and topped with Poire William pear mustard seed relish. Served with deliciously smooth roast Jerusalem artichoke mace cream.; Seaweed tapioca cracker with pickled vegetables; Sweet Tier 1; Orange & almond polenta cake served with clementine sorbet and pomegranate molasses, pink peppered meringue, coconut cream, toasted coconut and baby sorrel; Sweet Tier 2; Chocolate spiced hazelnut truffle cake and praline served with a whipped dark chocolate mousse. Cognac cinnamon and nutmeg noggin and a Razza Jazza truffle.; Traditional Tier; Tea soaked sultana scones served with Terre a Terre jam and clotted cream (vegan & no ingredients containing gluten used - coconut cream); £24 per person; £33 per person; with a glass of Fizz or cocktail",,No live music,Terre a Terre,Brighton,"Yes, please specify at the time of booking",Terrace,South East,26.00,Afternoon Tea is served 3pm to 4:30pm every day,"Yes, please specify at the time of booking",,https://www.afternoontea.co.uk/uk/south-east/east-sussex/terre-a-terre-brighton/,Main Restaurant
"At TERRA, the Afternoon Teas are beautifully made in-house by their pastry chef using only the finest ingredients of the Sussex region. Dripping in contemporary luxury, sit back and relax in the beautiful restaurant, with exquisite views of the South Downs.  The Afternoon Tea experience begins with guest’s choice of twelve blends of local Hoogly Teas, or a selection of Coffees. The hot drinks are unlimited, with the option to elevate your experience with a glass of bubbly or an Afternoon Tea cocktail. Changing with the seasons, the Afternoon Tea offers a tiered selection of Chef’s Choice Finger Sandwiches, Savoury Pastries, Plain Scones with Clotted Cream & Sussex Jam, plus a delectable range of Sweet Treats.  Look out for their tailored Afternoon Tea experiences for seasonal celebrations such as Mother’s & Father’s Day, as well as a Festive Afternoon Tea throughout December.  Please note that as all Afternoon Teas are made fresh to order, so the venue require 48 hours’ notice of all Afternoon Tea bookings.","Tottington Manor, Edburton Rd, Henfield, West Sussex,BN5 9LJ",West Sussex,,"Yes, children of all ages are welcome","Yes, we have ramp entry for our main doors into the building and decking, as well as an accessible toilet on the ground floor.","We’re Dog-Friendly here at Tottington Manor, so feel free to bring your pup to enjoy your Afternoon Tea with you, we even have a menu for them too! Just be aware that they aren’t allowed in the main TERRA Restaurant interior but can absolutely enjoy the experience on our covered and heated Decking and the Olive Lounge.",,Yes,"Yes, please specify when booking","Yes, please specify when booking",50.89109,-0.27299,,www.afternoontea.co.uk//media/jwsowl20/terra-afternoon-tea-menu-130-x-298-mm.pdf,We have live music every other Sunday in the Summer months from 3:30pm.,TERRA Restaurant at Tottington Manor,"Shoreham By Sea (3.9mi), Hassocks (6mi)","Yes, please specify when booking",Yes,South East,29.00,Afternoon Tea is served daily between 3pm-5pm,"Yes, please specify when booking","Yes, please specify when booking",https://www.afternoontea.co.uk/uk/south-east/west-sussex/terra-restaurant-at-tottington-manor/,"In our TERRA Restaurant, The Olive Lounge and alfresco on the TERRA Deck."
"The Tea Room at The Midland is Manchester's only setting specifically designed for, and dedicated to, Afternoon Tea. Enjoy a range of delicious treats at this Grade II listed building set in the heart of this buzzing city.  Served in opulent surroundings overlooking St Peter's Square, The Tea Room possesses its own knowledgeable team and features a Chefs Counter where guests can view a member of the hotel's expert pastry team skilfully prepare their afternoon tea before it is served fresh to their table.  Offering a fresh approach to traditional afternoon tea, The Tea Room works closely with local suppliers and takes pride in sourcing the highest quality ingredients. Guests can choose from an extensive selection of bespoke loose-leaf tea served with finely cut sandwiches, freshly baked scones with jam and clotted cream, and a range of delicate cakes and pastries.  The hotel is located just 200m from Oxford Road Station, 800m from Piccadilly Station and across the road from Manchester Central.","The Midland, Peter St, Manchester,M60 2DS",Manchester,Afternoon Tea Awards 2017 - Highly Commended,Children of all ages welcome,Yes,Guide dogs only,Smart casual,No,Available with advance notice. Full details on menu tab.,,53.477107,-2.245056,,www.afternoontea.co.uk//media/gj1leit0/tea-room-menu-print-summer-3724-web-layout-1.pdf,No live music,The Tea Room at The Midland Hotel,Manchester Oxford Street,,No,North West,35.00,Afternoon Tea is served 12pm to 4.30pm Wed - Sun,Available with advance notice. Full details on menu tab.,,https://www.afternoontea.co.uk/uk/north-west/manchester/the-midland-hotel/,The Tearoom and The Midland Lounge
"Visit The Tea Room at The Egerton House Hotel for a delightful Best of British Afternoon Tea.  Enjoy a selection of freshly cut sandwiches, including H. Forman and Son smoked salmon, free-range egg mayonnaise, Blythburgh roast ham & English mustard, cucumber & cream cheese, and Coronation chicken. Followed by our home-baked scones with delicious preserves and Devonshire clotted cream.  Relax in the sumptuous Tea Room with a fragrant pot of loose-leaf tea, or perhaps a glass of Champagne, and prepare to be spoiled. Vegetarian, vegan and gluten-free options are available (24-hours notice required).  Egerton House is a small luxury townhouse hotel in the heart of London's Knightsbridge. Just two minutes walk from Harrods, the chic shops of Brompton Road and the Victoria & Albert Museum, Egerton House is ideally situated for an intimate Afternoon Tea whilst shopping or sightseeing.  Afternoon Tea is served in the Tea Room from Wednesday to Sunday. The seating times will be at 2pm, 3pm and 4pm each day subject to availability.  Please note dogs will only be allowed on Thursdays and Sundays, and only one dog per table.  Afternoon Tea gift vouchers for Egerton House are also available to buy here .","Egerton Terrace, Knightsbridge, London,SW3 2BX",Knightsbridge,Afternoon Tea Awards 2018 - Commended,Children of all ages welcome,No,"Yes, on Thursday and Sunday only. Only one dog allowed per table.",Smart casual,No,"Yes, please specify at the time of booking","Yes, please specify at the time of booking",51.4964205,-0.1671656,Afternoon Tea - £75 per person; Champagne Afternoon Tea - £94 per person,www.afternoontea.co.uk//media/35pmfmqv/summertime-afternoon-tea-2024-v01.pdf,No live music,The Tea Room at The Egerton House Hotel,South Kensington Tube Station & Knightsbridge Tube Station,"Yes, please specify at the time of booking",No,London,75.00,"Afternoon Tea is served Wednesday - Sunday with afternoon sittings at 2pm, 3pm and 4pm","Yes, please specify at the time of booking",,https://www.afternoontea.co.uk/uk/london/knightsbridge/egerton-house/,The Tea Room
"Why not enjoy Afternoon Tea in quintessential surroundings in The Tea Room at Burnham Beeches? Built in 1727, this elegant manor house is nestled within 10 acres of beautiful gardens in Buckinghamshire, providing guests with the utmost tranquility.  Afternoon Tea is served in The Tea Room, where classic & contemporary design blend effortlessly with culinary excellence.  Using the finest quality ingredients, Burnham Beeches Hotel handcrafts a mouth-watering selection of sandwiches, cakes and scones, beautifully presented on a three-tier plate.","Grove Rd, Burnham ,SL1 8DP",Buckinghamshire,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,Yes,"Yes, available upon request","Yes, available upon request",51.557168,-0.648296,,www.afternoontea.co.uk//media/2bji45tq/45216_burnhambeeches_afternoon_tea_menu.pdf,No live music,The Tea Room at Burnham Beeches,Burnham Station,"Yes, available upon request",No,South East,27.00,Afternoon Tea is served 12pm to 4pm every day,"Yes, prior notice required",,https://www.afternoontea.co.uk/uk/south-east/buckinghamshire/the-tea-room-at-burnham-beeches-hotel/,The Tea Room
"The Clermont Victoria Hotel is one of London's great railway hotels with period features and ambience reflecting its unique Victorian heritage. First opened in 1861, the hotel is adjacent to Victoria mainline railway station and within easy walking distance of many of London's famous landmarks, such as Buckingham Palace and the Houses of Parliament.  The Tea Lounge is a perfect getaway from the hustle and bustle of the platform outside. Light, airy and a relaxing haven, just steps away from our grand lobby and Victoria Station. The Tea Lounge is a destination of its own. Take a seat in a cosy corner and enjoy the delights of a classic afternoon tea with friends or maybe add a little sparkle with a glass or two of bubbles.  The teas are supplied by family owned London company: BIRCHALL was established 1872, over 140 years ago. Today, they are one of the largest exporters of black teas from East Africa in the world. Tea Lounge at The Clermont Victoria Hotel is now offering over nine different loose leaf teas that goes perfectly with Afternoon Tea.","101 Buckingham Palace Rd, Victoria, London,SW1W 0SJ",Victoria & Westminster,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,No,Yes - available upon request,,51.4954543,-0.1456445,,www.afternoontea.co.uk//media/lzzltixq/chg244c_clermont_afternoontea_victoria_210x99mm_v1.pdf,No live music,The Tea Lounge at The Clermont Victoria,Victoria,"Yes. However, please note that the kitchen is not a nut-free environment",No,London,40.00,Afternoon Tea is served 12:30pm to 4:30pm Wednesday - Sunday,Yes - available upon request,,https://www.afternoontea.co.uk/uk/london/victoria-westminster/clermont-victoria-hotel/,Tea Lounge
"Afternoon Tea Awards 2024 - Award of Excellence  The Tea House is located upstairs at Bread Ahead Pavilion Road bakery, a welcoming and elegant space to indulge in an afternoon with family and friends. The dining room overlooks the dedicated pastry kitchen uniquely designed to produce iconic British Afternoon Tea. The menu embraces seasonality and traditional bakes expertly paired with a selection of Fortnum and Mason teas.  The Tea House has been crafted with the Bread Ahead ethos in mind, traditional values teamed with creative execution. The Afternoon Tea is a celebration of everything they love as bakers and pastry chefs, you can expect all the bright and bold Bread Ahead flavours in a truly special setting. Relax and indulge in the beautiful surroundings, savour the sights and sounds and of course drink plenty of tea.  The Afternoon Tea is a journey through the classics with flavour and ingredients front and centre. Delight in a generous feast of sweet and savoury bakes, alongside changing seasonal sweets you can expect traditional cakes from Black Forest to Battenberg and warm fresh scones with homemade jam, lemon curd and clotted cream.","Bread Ahead, 249 Pavilion Rd, London ,SW1X 0BP",Kensington & Chelsea,Afternoon Tea Awards 2024 - Award of Excellence,No,No,Guide dogs only,Smart,No,No,Yes - Advance noticed required,51.493365079632795,-0.15862241515082837,,www.afternoontea.co.uk//media/3mgddd3s/the-tea-house-menu.pdf,No,The Tea House at Bread Ahead,Salone Square Tube Station,Yes - Advance noticed required,No,London,50.00,Tea is served from 1pm - 6pm Friday to Sunday,No,Yes,https://www.afternoontea.co.uk/uk/london/kensington-chelsea/the-tea-house-at-bread-ahead/,In the Tea House within The Teahouse
"The George Hotel is a charming hotel steeped in history. Originally a 500-year-old coaching inn, The George offers the perfect base to enjoy Afternoon Tea after exploring England's oldest city, Colchester, and the surrounding tourist attractions.  Quintessential English Afternoon tea is served in the new Tea Room. ’T at The George’ is an eclectic Victorian themed experience giving you the chance to indulge with friends over freshly brewed tea, delicious sandwiches, fresh scones and sweet treats.  Stylish and elegant, the Tea room is adorned with paneling, mirrors, cherry blossom, and lavish flowers, showcasing Colchester’s historic charm and history.  The chefs have expertly handcrafted quirky fancies, delicate finger sandwiches, homemade buttery scones, and strawberry preserves to take you on a unique and personal gastronomical experience.  Award-winning British tea brand The Tea Makers of London provide a range of authentically made speciality teas with exceptional flavours. Their rich heritage of tea making and expertly curated teas are sourced from independent artisan tea farms as well as from some of the most renowned tea gardens around the world.  Children under 12 can enjoy their very own interactive 'Little Persons' Afternoon Tea menu and receive a cake pop stick to decorate.","116 High Street, Colchester,CO1 1TD",Essex,,Children of all ages welcome. A Children's Afternoon Tea menu is available.,Yes,Guide dogs only,Smart casual,No,,,51.890094,0.901229,A range of Afternoon Tea menus are available from £29 per person.; Traditional Afternoon Tea - £28 per person; Vegan Afternoon Tea - £28 per person; Vegetarian Afternoon Tea - £28 per person; Gluten Free Afternoon Tea - £28 per person; Little Persons Afternoon Tea (under 12’s) – £15 per person,www.afternoontea.co.uk//media/3tvf5toe/summertime-picnic.pdf,,Tea at The George,Colchester Town & North Station,,"Yes, a few tables outside the front",East of England,28.00,Afternoon Tea is served 12pm to 5pm Friday - Sunday,,,https://www.afternoontea.co.uk/uk/east-of-england/essex/the-george-hotel/,Tea at the George Tea Room
"Spoil yourself to a sumptuous Afternoon Tea at the boutique Taplow House. Enjoy a selection of sweet and savoury treats at this charming Georgian country hotel.  Afternoon Tea can be served in Berry's Restaurant, Berry's Bar or on Berry's Terrace if the weather is permitting. The hotel is set in six acres of picturesque gardens, and provides guests with the ideal opportunity to relax and indulge in the great British tradition in a grand, quintessentially British setting.  Their traditional Afternoon Tea menu features a selection of finger sandwiches served on white and wholemeal bread along with homemade scones. Diners can enjoy their meal with a choice of Newby loose leaf teas or Cafe du Monde cafetiere coffee. If you are feeling extra decadent, you can upgrade to include a chilled glass of Champagne.  This elegant country house is located on the border between Berkshire and Buckinghamshire, 40 minutes from central London and 10 minutes from Windsor.","Berry Hill, Maidenhead,SL6 0DA",Berkshire,,Children of all ages welcome,Yes,"Yes, on the Terrace and in the Drawing Room or Bar.",Smart casual,Yes,"Yes, please specify at the time of booking",,51.528670,-0.691347,,www.afternoontea.co.uk//media/vbedlbbv/afternoon-tea-menu-web-version.pdf,No live music,Taplow House,"Taplow Station, Maidenhead Station","Yes, please specify at the time of booking","Yes, Terrace",South East,29.95,Afternoon Tea is served 12pm to 5pm every day,"Yes, please specify at the time of booking","Yes, please specify at the time of booking",https://www.afternoontea.co.uk/uk/south-east/berkshire/taplow-house-maidenhead/,"Garden Room, Drawing Room, Grenfell Lounge"
"The Talbot is a hidden gem in the picturesque village of Ripley, Surrey. The hotel is one of the country's most storied and historic coaching inns and boasts many original features from throughout its 500-year history.  The Talbot is located just an hour away from Central London, and was once a frequent stop for Lord Nelson, where his love affair with Lady Hamilton is said to have blossomed. In the modern day, the hotel restaurant now offers the Lady Hamilton Afternoon Tea. This is beautifully presented, consisting of a selection of assorted finger sandwiches, homemade fresh scones with clotted cream, and individual cakes accompanied with tea or coffee.  Afternoon Tea is served daily in the hotel restaurant overlooking the South facing terrace. Guests can also choose to upgrade with a glass of bubbles alongside their Afternoon Tea for an indulgent experience.  The Talbot is in Ripley, Surrey and is a short distance from West Byfleet or Woking station.","High Street, Woking, Surrey,GU23 6BB",Surrey,,Yes,Yes,On request only. Dogs can be accommodated in a separate area,Smart casual,Yes,"Yes, with at least 24 hours notice",Yes,51.3013055841319,-0.48914499999999994,,www.afternoontea.co.uk//media/dpyjxtye/talbot-hotel-at-menu.pdf,No,The Talbot,West Byfleet or Woking,No,"Yes, during summer months",South East,25.00,Afternoon Tea is served daily from 2:30pm - 4:30pm,"Yes, with at least 24 hours notice","Yes, with at least 24 hours notice",https://www.afternoontea.co.uk/uk/south-east/surrey/the-talbot/,In the restaurant
"Nestled in the lush village of Audley Redwood, this off-the-beaten-track gem has one of the best Afternoon Tea deals in the South West, with English charm and contemporary décor in spades.  The cosy yet chic interior at Symonds at Redwood is perfect for an afternoon treat and is kitted out with leather chairs, mismatched furniture and tasteful artwork for a sophisticated yet relaxed atmosphere.  On your visit your Afternoon Tea may be presented a little differently to the images displayed. The venue vary their selection of sweet treats according to seasonality and adapt their offering so that regular guests can look forward to something new each time. They also theme their Afternoon Tea from time to time, so your experience will feel a little more exclusive during events such as Valentine’s Day, Mother’s Day, Easter, Father’s Day, Halloween and Christmas.  A lighter Cream Tea option is available should you prefer, and  Vegan and Gluten-free dietary requirements can also be catered for. The venue politely ask that all Afternoon Tea bookings are placed in advance and that any special requests are made at the time of booking, to ensure they can provide the best possible experience on the day.","Audley Redwood, Beggar Bush Lane, Failand, Bristol,BS8 3TG",Bristol,,Children of all ages welcome,,Guide dogs only,Smart casual,,,N/A,51.443649,-2.666267,"; Traditional Afternoon Tea Menu; ; Finger sandwiches served on white and wholemeal bread; Ham and sundried tomato,; smoked salmon and cream cheese,; egg mayonnaise,; cheese and chutney; ; Two scones, clotted cream and; strawberry preserve; ; Selection of Afternoon Tea cakes; ; £24.95 per person; Sparkling Afternoon Tea: £30.95 per person; ; Children’s Afternoon Tea Menu; ; Sandwich triangles on white bread; Ham, Cheese, Strawberry jam; ; Plain scone and strawberry preserve; ; Selection of sweet treats; Jelly pot; Brownie; Shortbread; Fresh fruit skewer; ; £12.50 per person; (recommended for children up to the age of 10)",,No live music,Symonds at Redwood,Bristol Temple Mead,,,South West,24.95,Afternoon Tea is served 2pm to 4pm Monday - Saturday,,,https://www.afternoontea.co.uk/uk/south-west/bristol/symonds-at-redwood-bristol/,"Symonds Bar, Bistro & Restaurant"
"Set just two minutes walk from Primrose Hill Park, enjoy Afternoon Tea at Sweet Things Bakery either inside or outside. An inclusive atmosphere, it is child and dog friendly.  The tea is made up of our fresh, homemade and award winning items which include: Smoked salmon and cream cheese/avocado and roasted peppers brioche rolls, award winning scones with clotted cream and homemade jam, cupcakes, banana bread, award winning brownies, strawberries dipped in Belgian chocolate and unlimited loose leaf tea.  There are 7 tables inside and 13 tables outside which can all be joined together to accommodate larger sized groups.  As everything is made fresh and to order, 24 hours notice is required for booking and we can also amend the menu for GF/Vegan/Vegetarian requests. The turn time is 1.5 hours, with bookings in 30 minute increments.","138 Regents Park Road London,NW1 8XL",Bloomsbury,,Yes - children of all ages welcome,,Yes,No dress code,No,Yes. 24 hours notice required,Yes. 24 hours notice required,51.54093321827623,-0.15722653362369274,,www.afternoontea.co.uk//media/yzoj3cz5/afternoon-tea-menu.pdf,No,Sweet Things,Chalk Farm,Yes,Yes,London,25.00,,Yes. 24 hours notice required,Yes. 24 hours notice required,https://www.afternoontea.co.uk/uk/london/bloomsbury/sweet-things/,"Inside the café or, weather permitting, outside"
"Afternoon Tea Awards 2023 - 'Award of Excellence'  The Londoner is a new 5-star hotel, situated on the south west corner of Leicester Square, in the heart of London's West End.  Available 12:30pm-4pm Thursday-Monday -and the perfect post-shopping, pre-theatreland pitstop - Afternoon Tea at The Stage comprises all the best of British High Tea favourites, including a selection of sandwiches, freshly baked artisanal cakes, and fluffy scones.  Square-cut sandwiches include Smoked salmon and Devon crab with yuzu kosho crème fraîche on granary bread and lemon-roasted Norfolk chicken with truffle mayonnaise on basil-and-spinach-infused bread. Both plain and sultana scones, baked in The Stage’s kitchen that morning, are served with indulgent Cornish clotted cream, homemade strawberry preserve and lemon curd. Beautifully crafted patisseries complete the menu, including the Spiced Sacher torte - a Seasonal torte layered with spiced poached pear, caramel crème and topped with crunchy feuilletine.  Served alongside The Stage’s Champagne Afternoon Tea will be a considered selection of Champagnes, as well as fresh loose leaf teas from The East India Company, who have expertly curated a special tea list collaboratively with The Londoner. A choice of Champagne can be made from a selection including Ruinart Blanc de Blancs, Dom Perignon Brut Vintage or Wild Idol, Alcohol Free Sparkling Wine  To set the scene, accompanying The Londoner’s Afternoon Tea will be weekly pianists and vocalists playing on The Stage’s grand piano throughout every afternoon. The Stage’s Afternoon Tea offers four different packages:   Traditional Afternoon Tea £55 per person  Champagne Afternoon Tea £70 per person, served with a glass of Veuve Clicquot Yellow Label Brut  Rosé Champagne Afternoon Tea £75 per person, served with a glass of Billecart-Salmon Brut Rosé  Vintage Champagne Afternoon Tea £105 per person, served with a glass of Dom Pérignon Brut Vintage 2012","38 Leicester Square, London,WC2H 7DX",Covent Garden,Afternoon Tea Awards 2023 - 'Award of Excellence',Children of all ages welcome.,Yes,,Smart,,Yes. Advance notice required.,Yes. Advance notice required.,51.5099664,-0.1300035,,www.afternoontea.co.uk//media/abgol4bi/the_stage_menu_act_two_artwork.pdf,Yes,The Stage at The Londoner,Leicester Square and Piccadilly Circus,Yes. Advance notice required.,,London,55.00,Afternoon Tea is served daily from 12:30pm to 4pm,Yes. Advance notice required.,Yes. Advance notice required.,https://www.afternoontea.co.uk/uk/london/covent-garden/the-stage-at-the-londoner/,The Stage lounge
"The Stag on the River is a historic riverside pub near Godalming in Surrey, packed with character and charm.  Indulge in one of Britain’s most loved traditions with Afternoon Tea in the warming surrounds of the restaurant. A delectable selection of sweet treats and savoury delights await, complete with freshly baked scones, clotted cream and preserves.  Why not book your own private Afternoon Tea party, hosted in the characterful surroundings of the covered outdoor dining, or patio and pub garden or dine inside the pub restaurant.  The menu includes the highest quality, seasonal, farm to table ingredients packed into traditional Afternoon Tea delights.  Afternoon Tea is served Monday to Friday from 12pm - 5pm and booking must be made at least three days in advance.","Eashing, Godalming, Surrey,GU7 2QG",Surrey,,Children of all ages are welcome,Yes,"Yes, all dogs are welcome",No,Yes,Yes - 24 hours advance notice required,,51.18641,-0.64867,,www.afternoontea.co.uk//media/xzkjt2sx/afternoon-tea-menu-stag.pdf,,The Stag on the River,Godalming,"Yes, The Stag on the River is a nut free business",Yes,South East,24.95,"Monday to Saturday, 12pm - 5pm",,Yes - 24 hours advance notice required,https://www.afternoontea.co.uk/uk/south-east/surrey/the-stag-on-the-river/,"In the private dining spaces, restaurant and bar areas"
"Afternoon Tea Awards 2024 - Award of Excellence  The newly launched Afternoon Tea at The Stafford London includes dainty finger sandwiches and delicious homemade sweet and savoury scones, accompanied by a selection of seasonal cakes and pastries, all served table-side from our bespoke, handcrafted trolley for an added sense of theatre and occasion. To accompany the sweets and savouries, choose from a fine choice of from Camellia’s Tea House, or for those wishing to celebrate in style, enjoy a chilled glass of Champagnes from the extensive wine list.  Located in the heart of historical St James's 5 Star Hotel, The Stafford London is a haven of calm tucked away from London's busy streets. Green Park Tube Station is a 2-minute walk away and close to excellent shopping, galleries and museums.  Afternoon tea is served between 12 – 5.30pm daily  * If you have any dietary preferences, please advise the venue a minimum of 24h prior to you booking. Requests outside this time period or on the day may not be accommodated due to availability of produce.","16-18 St. James's Place, London,SW1A 1NJ",St. James's,Afternoon Tea Awards 2024 - Award of Excellence,Children of all ages welcome,Yes,Guide dogs only,Smart casual,No,"Yes, please specify at time of booking.","Yes, please specify at time of booking.",51.505903,-0.140406,,www.afternoontea.co.uk//media/52blei34/afternoon-tea-menu-300424.pdf,No,The Stafford London,Green Park,"Yes, please specify at time of booking.",No,London,70.00,Afternoon tea is served between 12 – 5.30pm daily,"Yes, please specify at time of booking.","Yes, please specify at time of booking.",https://www.afternoontea.co.uk/uk/london/st-jamess/the-stafford-london/,The Game Bird
